,Unnamed: 0,제목,tag
0,328.0,(무삭제) 귀멸의 칼날,"성장, 무거움, 판타지, 액션, 시대물"
1,1371.0,주술회전 part 1,"성장, 판타지, 액션, 학교, 마을"
2,1383.0,지박소년 하나코 군,"판타지, 액션, 개그, 로맨스, 미스터리, 학교, 마을, 여성향"
3,1631.0,호리미야,"우정, 성장, 로맨스, 학교, 집, 드라마"
4,1372.0,주술회전 part 2,"성장, 판타지, 액션, 학교, 마을"
5,1288.0,원펀맨,"배틀, 판타지, 액션, 개그"
6,1610.0,하이큐!! 1기,"우정, 경쟁, 대회, 스포츠, 학교, 경기장"
7,1215.0,약속의 네버랜드 1기,"충격의 1화, 생존, 판타지, 미스터리, 스릴러, 공포, 노이타미나"
8,642.0,극장판 귀멸의 칼날 : 무한열차편,"성장, 무거움, 판타지, 액션, 시대물"
9,1064.0,슈퍼 시크릿,"마법, 삼각관계, 짝사랑, 감동, 판타지, 일상, 개그, 로맨스, 학교, 마을, 집"
10,456.0,(자막) 하이큐!! 2기,"우정, 경쟁, 대회, 스포츠, 학교, 경기장"
11,1200.0,암살교실 1기,"우정, 경쟁, 액션, 개그, 학교, 마을"
12,18.0,(더빙) 강철의 연금술사 BROTHERHOOD,"성장, 무거움, 철학, 판타지, 액션, 개그"
13,1201.0,암살교실 2기,"우정, 성장, 경쟁, 판타지, 액션, 개그, 학교, 마을"
14,1613.0,하이큐!! 카라스노 고교 VS 시라토리자와학원 고교 (3기),"우정, 경쟁, 대회, 스포츠, 학교, 경기장"
15,361.0,(자막) 나의 히어로 아카데미아 1기,"우정, 성장, 배틀, 판타지, 액션, SF, 학교, 마을"
16,1352.0,전생했더니 슬라임이었던 건에 대하여 1기,"마법, 이세계, 전쟁, 환생, 판타지, 액션, 개그, 상상의 장소"
17,1611.0,하이큐!! TO THE TOP part 1,"우정, 경쟁, 대회, 스포츠, 학교, 경기장"
18,377.0,(자막) 마도조사 1기,"액션, 시대물, 무협, BL"
19,,4월은 너의 거짓말,"성장, 삼각관계, 감동, 슬픔, 로맨스, 음악, 학교, 공연장, 노이타미나, 드라마"
20,1045.0,소드 아트 온라인 1기,"이세계, 게임, 액션, SF, 하렘, 상상의 장소"
21,362.0,(자막) 나의 히어로 아카데미아 2기,"우정, 성장, 배틀, 판타지, 액션, SF, 학교, 마을"
22,378.0,(자막) 마도조사 2기,"액션, 시대물, 무협, BL"
23,1459.0,카구야 님은 고백받고 싶어 ~천재들의 연애 두뇌전~ 2기,"두뇌싸움, 감동, 일상, 개그, 로맨스, 학교, 남성향"
24,1251.0,오늘부터 신령님 1기,"성장, 동양풍, 감동, 판타지, 로맨스"
25,363.0,(자막) 나의 히어로 아카데미아 3기,"우정, 성장, 배틀, 판타지, 액션, SF, 학교, 마을"
26,1612.0,하이큐!! TO THE TOP part 2,"우정, 경쟁, 대회, 스포츠, 학교, 경기장"
27,90.0,(더빙) 마도조사 1기,"액션, 시대물, 무협, BL"
28,1037.0,센과 치히로의 행방불명,"감동, 몽환, 판타지"
