,제목,tag,story_tag
0,(무삭제) 귀멸의 칼날,"요괴 및 괴물, 열혈","성장, 무거움, 판타지, 액션, 시대물"
1,주술회전 part 1,"요괴 및 괴물, 이능력, 열혈, 교복","성장, 판타지, 액션, 학교, 마을"
2,지박소년 하나코 군,"귀신, 발랄가볍","판타지, 액션, 개그, 로맨스, 미스터리, 학교, 마을, 여성향"
3,호리미야,"주체적 여성, 발랄가볍","우정, 성장, 로맨스, 학교, 집, 드라마"
4,주술회전 part 2,"요괴 및 괴물, 이능력, 열혈, 교복","성장, 판타지, 액션, 학교, 마을"
5,원펀맨,"히어로, 열혈, 먼치킨","배틀, 판타지, 액션, 개그"
6,하이큐!! 1기,열혈,"우정, 경쟁, 대회, 스포츠, 학교, 경기장"
7,약속의 네버랜드 1기,귀여움,"충격의 1화, 생존, 판타지, 미스터리, 스릴러, 공포, 노이타미나"
8,극장판 귀멸의 칼날 : 무한열차편,"요괴 및 괴물, 열혈","성장, 무거움, 판타지, 액션, 시대물"
9,슈퍼 시크릿,귀여움,"마법, 삼각관계, 짝사랑, 감동, 판타지, 일상, 개그, 로맨스, 학교, 마을, 집"
10,(자막) 하이큐!! 2기,열혈,"우정, 경쟁, 대회, 스포츠, 학교, 경기장"
11,암살교실 1기,"선생님, 먼치킨","우정, 경쟁, 액션, 개그, 학교, 마을"
12,(더빙) 강철의 연금술사 BROTHERHOOD,먼치킨,"성장, 무거움, 철학, 판타지, 액션, 개그"
13,암살교실 2기,"선생님, 먼치킨","우정, 성장, 경쟁, 판타지, 액션, 개그, 학교, 마을"
14,하이큐!! 카라스노 고교 VS 시라토리자와학원 고교 (3기),열혈,"우정, 경쟁, 대회, 스포츠, 학교, 경기장"
15,(자막) 나의 히어로 아카데미아 1기,"히어로, 이능력, 먼치킨","우정, 성장, 배틀, 판타지, 액션, SF, 학교, 마을"
16,전생했더니 슬라임이었던 건에 대하여 1기,"요괴 및 괴물, 이능력, 악마 또는 천사, 마왕, 발랄가볍, 먼치킨","마법, 이세계, 전쟁, 환생, 판타지, 액션, 개그, 상상의 장소"
17,하이큐!! TO THE TOP part 1,열혈,"우정, 경쟁, 대회, 스포츠, 학교, 경기장"
18,(자막) 마도조사 1기,"요괴 및 괴물, 미소년","액션, 시대물, 무협, BL"
19,4월은 너의 거짓말,nan,"성장, 삼각관계, 감동, 슬픔, 로맨스, 음악, 학교, 공연장, 노이타미나, 드라마"
20,소드 아트 온라인 1기,"미소녀, 전사, 먼치킨","이세계, 게임, 액션, SF, 하렘, 상상의 장소"
21,(자막) 나의 히어로 아카데미아 2기,"히어로, 이능력, 먼치킨","우정, 성장, 배틀, 판타지, 액션, SF, 학교, 마을"
22,(자막) 마도조사 2기,"요괴 및 괴물, 미소년","액션, 시대물, 무협, BL"
23,카구야 님은 고백받고 싶어 ~천재들의 연애 두뇌전~ 2기,"발랄가볍, 교복","두뇌싸움, 감동, 일상, 개그, 로맨스, 학교, 남성향"
24,오늘부터 신령님 1기,요괴 및 괴물,"성장, 동양풍, 감동, 판타지, 로맨스"
25,(자막) 나의 히어로 아카데미아 3기,"히어로, 이능력, 먼치킨","우정, 성장, 배틀, 판타지, 액션, SF, 학교, 마을"
26,하이큐!! TO THE TOP part 2,열혈,"우정, 경쟁, 대회, 스포츠, 학교, 경기장"
27,(더빙) 마도조사 1기,"요괴 및 괴물, 미소년","액션, 시대물, 무협, BL"
28,센과 치히로의 행방불명,요괴 및 괴물,"감동, 몽환, 판타지"
29,여성향 게임의 파멸 플래그밖에 없는 악역 영애로 환생해버렸다···,nan,"이세계, 게임, 판타지, 개그, 상상의 장소, 여성향"
30,진격의 거인 The FINAL,군인,"복수, 생존, 무거움, 판타지, 액션, 미스터리, 공포, 재난, 마을"
31,나만이 없는 거리,이능력,"우정, 두뇌싸움, 살인, 루프물, 무거움, 추리, 미스터리, 범죄, 스릴러, 학교, 마을, 노이타미나"
32,월간순정 노자키 군,"발랄가볍, 교복","일상, 개그, 로맨스, 학교"
33,새벽의 연화,주체적 여성,"성장, 전쟁, 동양풍, 정치, 역하렘, 판타지, 액션, 로맨스, 시대물"
34,오늘부터 신령님 2기,요괴 및 괴물,"성장, 동양풍, 감동, 판타지, 로맨스"
35,카구야 님은 고백받고 싶어 ~천재들의 연애 두뇌전~ 1기,"발랄가볍, 교복","두뇌싸움, 감동, 일상, 개그, 로맨스, 학교, 남성향"
36,청춘 돼지는 바니걸 선배의 꿈을 꾸지 않는다,"미소녀, 연예인","성장, 짝사랑, 루프물, 슬픔, 판타지, 로맨스, SF, 치유, 학교, 마을, 드라마"
37,마왕성에서 잘 자요,"마왕, 발랄가볍, 귀여움","판타지, 개그, 감옥, 왕궁 및 성"
38,동급생,nan,"성장, BL, 학교, 드라마"
39,코바야시네 메이드래곤,"오타쿠, 귀여움","마법, 판타지, 일상, 개그, 집"
40,(자막) 이 멋진 세계에 축복을! 1기,"마왕, 발랄가볍","마법, 이세계, 서양풍, 판타지, 액션, 개그, 하렘, 상상의 장소"
41,노 게임 노 라이프 - 판권 부활,먼치킨,"이세계, 전쟁, 게임, 두뇌싸움, 판타지, 액션, 하렘"
42,전생했더니 슬라임이었던 건에 대하여 2기 1부,"요괴 및 괴물, 이능력, 악마 또는 천사, 마왕, 발랄가볍, 먼치킨","마법, 이세계, 전쟁, 환생, 판타지, 액션, 개그, 상상의 장소"
43,Re : 제로부터 시작하는 이세계 생활 2기 part 1,nan,"마법, 이세계, 루프물, 판타지, 액션, 스릴러"
44,하울의 움직이는 성,귀여움,"가족, 감동, 몽환, 판타지, 치유, 농촌"
45,진격의 거인 1기,군인,"복수, 생존, 무거움, 판타지, 액션, 미스터리, 공포, 재난, 마을"
46,(자막) 시간을 달리는 소녀,교복,"우정, 성장, 짝사랑, 시간여행, 감동, 판타지, 로맨스, SF, 학교, 집, 회사"
47,진격의 거인 3기 part 1,군인,"복수, 생존, 무거움, 판타지, 액션, 미스터리, 공포, 재난, 마을"
48,진격의 거인 2기,군인,"복수, 생존, 무거움, 판타지, 액션, 미스터리, 공포, 재난, 마을"
49,문호 스트레이 독스 3기,"이능력, 탐정","판타지, 액션, 시대물, 추리, 미스터리, 마을"
50,문호 스트레이 독스 1기,"이능력, 탐정","판타지, 액션, 시대물, 추리, 미스터리"
51,(더빙) 너에게 닿기를 1기 리마스터,"교복, 귀여움","우정, 성장, 감동, 로맨스, 학교, 집, 회사"
52,일곱 개의 대죄 (1기),먼치킨,"배틀, 판타지, 액션"
53,마법사의 신부,nan,"성장, 마법, 서양풍, 감동, 판타지, 로맨스, 치유, 마을, 상상의 장소"
54,진격의 거인 3기 part 2,군인,"복수, 생존, 무거움, 판타지, 액션, 미스터리, 공포, 재난, 마을"
55,목소리의 형태,교복,"우정, 성장, 감동, 슬픔, 로맨스, 치유, 학교, 드라마"
56,도쿄 구울,"이능력, 먼치킨","배틀, 생존, 무거움, 판타지, 액션, 미스터리, 스릴러"
57,문호 스트레이 독스 2기,"이능력, 탐정","판타지, 액션, 시대물, 추리, 미스터리"
58,코바야시네 메이드래곤 S,"오타쿠, 귀여움","마법, 판타지, 일상, 개그, 집"
