,제목,장르,제작정보,성비,평점,평점수,태그완성
0,(무삭제) 귀멸의 칼날,판타지 / 액션,"제작 : 유포테이블
그림 : 고토게 코요하루
출시 : 2019년 2분기|2019년 3분기",58.0,4.7,44717.0,수상 이력\n라프텔 역대 애니 인기 랭킹 1위 
1,주술회전 part 1,판타지 / 액션,"제작 : MAPPA
그림 : 아쿠타미 게게
출시 : 2020년 4분기",40.0,4.8,28408.0,수상 이력\n라프텔 역대 애니 인기 랭킹 6위 
2,지박소년 하나코 군,판타지 / 액션,출시 : 2020년 1분기,32.0,4.7,39417.0,수상 이력\n라프텔 역대 애니 인기 랭킹 2위 
3,호리미야,로맨스 / 드라마,"제작 : CloverWorks
그림 : 하기와라 다이스케
출시 : 2021년 1분기",51.0,4.8,21345.0,수상 이력\n라프텔 역대 애니 인기 랭킹 11위 
4,주술회전 part 2,판타지 / 액션,"제작 : MAPPA
그림 : 아쿠타미 게게
출시 : 2021년 1분기",44.0,4.9,19479.0,수상 이력\n라프텔 역대 애니 인기 랭킹 15위 
5,원펀맨,판타지 / 액션,"제작 : 매드하우스
그림 : One, 무라타 유스케
출시 : 2015년 4분기",68.0,4.3,230913.0,수상 이력\n라프텔 역대 애니 인기 랭킹 3위 
6,하이큐!! 1기,스포츠,"제작 : 프로덕션 I.G
각본 : 키시모토 타쿠
그림 : 후루다테 하루이치
출시 : 2014년 2분기|2014년 3분기",43.0,4.2,168110.0,수상 이력\n라프텔 역대 애니 인기 랭킹 5위 
7,약속의 네버랜드 1기,판타지 / 모험,"그림 : 데미즈 포스카
출시 : 2019년 1분기",45.0,4.5,56196.0,수상 이력\n라프텔 역대 애니 인기 랭킹 4위 
8,극장판 귀멸의 칼날 : 무한열차편,판타지 / 액션,"제작 : 유포테이블
그림 : 고토게 코요하루
출시 : 2020년 4분기",56.0,4.8,14446.0,수상 이력\n라프텔 역대 애니 인기 랭킹 56위 
9,슈퍼 시크릿,판타지 / 로맨스,"그림 : 이온
출시 : 2020년 2분기|2020년 4분기|2021년 1분기",32.0,4.8,13713.0,수상 이력\n라프텔 역대 애니 인기 랭킹 17위 
10,(자막) 하이큐!! 2기,스포츠,"제작 : 프로덕션 I.G
각본 : 키시모토 타쿠
그림 : 후루다테 하루이치
출시 : 2015년 4분기|2016년 1분기",43.0,4.2,151237.0,수상 이력\n라프텔 역대 애니 인기 랭킹 9위 
11,암살교실 1기,액션 / 개그,"제작 : 라르케
각본 : 우에즈 마코토
그림 : 마츠이 유세이
출시 : 2015년 1분기|2015년 2분기",58.0,4.2,191113.0,수상 이력\n라프텔 역대 애니 인기 랭킹 8위 
12,(더빙) 강철의 연금술사 BROTHERHOOD,판타지 / 액션,"제작 : 본즈
각본 : 마루야마 히로
그림 : 아라카와 히로무
출시 : 2009년",68.0,4.3,125187.0,수상 이력\n라프텔 역대 애니 인기 랭킹 7위 
13,암살교실 2기,판타지 / 액션,"제작 : 라르케
각본 : 우에즈 마코토
그림 : 마츠이 유세이
출시 : 2016년 1분기|2016년 2분기",58.0,4.3,140596.0,수상 이력\n라프텔 역대 애니 인기 랭킹 10위 
14,하이큐!! 카라스노 고교 VS 시라토리자와학원 고교 (3기),스포츠,"제작 : 프로덕션 I.G
각본 : 키시모토 타쿠
그림 : 후루다테 하루이치
출시 : 2016년 4분기",42.0,4.3,104967.0,수상 이력\n라프텔 역대 애니 인기 랭킹 12위 
15,(자막) 나의 히어로 아카데미아 1기,판타지 / 액션,"제작 : 본즈
각본 : 쿠로다 요스케
그림 : 호리코시 코헤이
출시 : 2016년 2분기",61.0,4.3,113768.0,수상 이력\n라프텔 역대 애니 인기 랭킹 13위 
16,전생했더니 슬라임이었던 건에 대하여 1기,판타지 / 액션,"제작 : 8bit
각본 : 후데야스 카즈유키
출시 : 2018년 4분기|2019년 1분기",77.0,4.3,69734.0,수상 이력\n라프텔 역대 애니 인기 랭킹 14위 
17,하이큐!! TO THE TOP part 1,스포츠,"제작 : 프로덕션 I.G
각본 : 키시모토 타쿠
그림 : 후루다테 하루이치
출시 : 2020년 1분기",31.0,4.7,14893.0,수상 이력\n라프텔 역대 애니 인기 랭킹 25위 
18,(자막) 마도조사 1기,액션 / BL,출시 : 2018년 3분기|2018년 4분기,15.0,4.7,15626.0,수상 이력\n라프텔 역대 애니 인기 랭킹 20위 
19,4월은 너의 거짓말,로맨스 / 음악,"제작 : A-1Pictures
각본 : 요시오카 타카오
그림 : 아라카와 나오시
출시 : 2014년 4분기|2015년 1분기",61.0,4.1,121987.0,수상 이력\n라프텔 역대 애니 인기 랭킹 18위 
20,소드 아트 온라인 1기,액션 / 모험,"제작 : A-1Pictures
출시 : 2012년 3분기|2012년 4분기",73.0,4.1,181612.0,수상 이력\n라프텔 역대 애니 인기 랭킹 16위 
21,(자막) 나의 히어로 아카데미아 2기,판타지 / 액션,"제작 : 본즈
각본 : 쿠로다 요스케
그림 : 호리코시 코헤이
출시 : 2017년 2분기|2017년 3분기",60.0,4.4,70432.0,수상 이력\n라프텔 역대 애니 인기 랭킹 21위 
22,(자막) 마도조사 2기,액션 / 시대물,출시 : 2019년 3분기|2019년 4분기,9.0,4.8,10310.0,수상 이력\n라프텔 역대 애니 인기 랭킹 23위 
23,카구야 님은 고백받고 싶어 ~천재들의 연애 두뇌전~ 2기,개그 / 로맨스,"제작 : A-1Pictures
그림 : 아카사카 아카
출시 : 2020년 2분기",74.0,4.8,11195.0,수상 이력\n라프텔 역대 애니 인기 랭킹 34위 
24,오늘부터 신령님 1기,판타지 / 로맨스,"제작 : TMSEntertainment
그림 : 스즈키 줄리에타
출시 : 2012년 4분기",23.0,4.2,80477.0,수상 이력\n라프텔 역대 애니 인기 랭킹 27위 
25,(자막) 나의 히어로 아카데미아 3기,판타지 / 액션,"제작 : 본즈
각본 : 쿠로다 요스케
출시 : 2018년 2분기|2018년 3분기",59.0,4.6,40265.0,수상 이력\n라프텔 역대 애니 인기 랭킹 24위 
26,하이큐!! TO THE TOP part 2,스포츠,"제작 : 프로덕션 I.G
그림 : 후루다테 하루이치
출시 : 2020년 4분기",30.0,4.8,10413.0,수상 이력\n라프텔 역대 애니 인기 랭킹 66위 
27,(더빙) 마도조사 1기,액션 / BL,출시 : 2020년 2분기,9.0,4.9,8747.0,수상 이력\n라프텔 역대 애니 인기 랭킹 31위 
