,제목,tag1,tag10,tag11,tag12,tag13,tag14,tag2,tag3,tag4,tag5,tag6,tag7,tag8,tag9
1,(더빙) GO 아스트로 보이 Go!,감동,NA,NA,NA,NA,NA,철학,액션,아동,SF,NA,NA,NA,NA
2,(더빙) 가면라이더 Dr.팩맨 vs 이그제이드,액션,NA,NA,NA,NA,NA,SF,NA,NA,NA,NA,NA,NA,NA
3,(더빙) 가면라이더 X 파워레인저 초 슈퍼 히어로 대전,액션,NA,NA,NA,NA,NA,SF,NA,NA,NA,NA,NA,NA,NA
4,(더빙) 가면라이더 고스트 100개의 아이콘과 고스트 : 운명의 순간,액션,NA,NA,NA,NA,NA,아동,SF,NA,NA,NA,NA,NA,NA
5,(더빙) 가면라이더 고스트 리:버스 가면라이더 스펙터,액션,NA,NA,NA,NA,NA,아동,SF,마을,NA,NA,NA,NA,NA
6,(더빙) 가면라이더 뉴 제네레이션 FOREVER,액션,NA,NA,NA,NA,NA,SF,NA,NA,NA,NA,NA,NA,NA
7,(더빙) 가면라이더 빌드,액션,NA,NA,NA,NA,NA,아동,SF,마을,NA,NA,NA,NA,NA
8,(더빙) 가면라이더 빌드 : Be The One,액션,NA,NA,NA,NA,NA,SF,NA,NA,NA,NA,NA,NA,NA
9,(더빙) 가면라이더 이그제이드 외전 : 겜마 vs 레이저,액션,NA,NA,NA,NA,NA,SF,NA,NA,NA,NA,NA,NA,NA
10,(더빙) 가면라이더 이그제이드 외전 : 브레이브 & 스나이프,액션,NA,NA,NA,NA,NA,SF,NA,NA,NA,NA,NA,NA,NA
11,(더빙) 가면라이더 이그제이드 외전 : 패러독스 with 뽀삐,액션,NA,NA,NA,NA,NA,SF,NA,NA,NA,NA,NA,NA,NA
12,(더빙) 가면라이더 이그제이드 트루엔딩,액션,NA,NA,NA,NA,NA,SF,NA,NA,NA,NA,NA,NA,NA
13,(더빙) 가면라이더 지오,액션,NA,NA,NA,NA,NA,SF,NA,NA,NA,NA,NA,NA,NA
14,(더빙) 가면라이더 지오 Over Quartzer,액션,NA,NA,NA,NA,NA,SF,NA,NA,NA,NA,NA,NA,NA
15,(더빙) 가면라이더 파이널 빌드 & 이그제이드 with 레전드 라이더,액션,NA,NA,NA,NA,NA,SF,NA,NA,NA,NA,NA,NA,NA
16,(더빙) 갓 오브 하이스쿨,배틀,NA,NA,NA,NA,NA,경쟁,판타지,액션,무협,경기장,NA,NA,NA
17,(더빙) 갓파 쿠와 여름방학을,우정,NA,NA,NA,NA,NA,감동,아동,NA,NA,NA,NA,NA,NA
18,(더빙) 강철의 연금술사 BROTHERHOOD,성장,NA,NA,NA,NA,NA,무거움,철학,판타지,액션,개그,NA,NA,NA
19,(더빙) 겨울왕국의 무민,가족,NA,NA,NA,NA,NA,판타지,아동,일상,상상의 장소,NA,NA,NA,NA
20,(더빙) 고 녀석 맛나겠다,성장,NA,NA,NA,NA,NA,가족,감동,아동,로맨스,NA,NA,NA,NA
21,(더빙) 고 피쉬!,가족,NA,NA,NA,NA,NA,감동,아동,바다,NA,NA,NA,NA,NA
22,(더빙) 고릴라와 슈퍼레이스,우정,NA,NA,NA,NA,NA,경쟁,아동,마을,NA,NA,NA,NA,NA
23,(더빙) 공룡메카드 스페셜 : 신비의 놀이동산,배틀,NA,NA,NA,NA,NA,액션,아동,경기장,NA,NA,NA,NA,NA
24,(더빙) 괴도 조커,액션,NA,NA,NA,NA,NA,아동,NA,NA,NA,NA,NA,NA,NA
25,(더빙) 괴도 조커 2기,액션,NA,NA,NA,NA,NA,아동,NA,NA,NA,NA,NA,NA,NA
26,(더빙) 괴도 키드 스페셜,두뇌싸움,NA,NA,NA,NA,NA,비밀조직,복수,액션,추리,미스터리,범죄,학교,NA
27,(더빙) 괴물의 아이,성장,NA,NA,NA,NA,NA,가족,감동,판타지,액션,개그,NA,NA,NA
28,(더빙) 구스 베이비,가족,NA,NA,NA,NA,NA,감동,아동,개그,자연,NA,NA,NA,NA
29,(더빙) 극장판 나루토 : 대흥분! 초승달 섬의 애니멀 소동,우정,NA,NA,NA,NA,NA,성장,배틀,전쟁,동양풍,복수,판타지,액션,마을
30,(더빙) 극장판 다이노 마이 프렌드,우정,NA,NA,NA,NA,NA,액션,아동,NA,NA,NA,NA,NA,NA
31,(더빙) 극장판 보루토 : 나루토 더 무비,우정,NA,NA,NA,NA,NA,성장,배틀,전쟁,동양풍,복수,판타지,액션,마을
32,(더빙) 극장판 오소마츠 6쌍둥이,가족,NA,NA,NA,NA,NA,충격의 1화,감동,개그,학교,마을,NA,NA,NA
33,(더빙) 극장판 원피스 11기: 밀짚모자 체이스,우정,NA,NA,NA,NA,NA,성장,배틀,판타지,액션,개그,바다,섬,NA
34,(더빙) 극장판 원피스 1기 : 황금의 대해적 우난,우정,NA,NA,NA,NA,NA,성장,배틀,판타지,액션,개그,바다,섬,NA
35,(더빙) 극장판 원피스 2기 : 네지마키 섬의 모험,우정,NA,NA,NA,NA,NA,성장,배틀,판타지,액션,개그,바다,섬,NA
36,(더빙) 극장판 원피스 3기 : 진기한 동물섬의 쵸파왕국,우정,NA,NA,NA,NA,NA,성장,배틀,판타지,액션,개그,바다,섬,NA
37,(더빙) 극장판 원피스 4기 : 데드 엔드의 모험,우정,NA,NA,NA,NA,NA,성장,배틀,판타지,액션,개그,바다,섬,NA
38,(더빙) 극장판 원피스 5기 : 저주받은 성검,우정,NA,NA,NA,NA,NA,성장,배틀,판타지,액션,개그,바다,섬,NA
39,(더빙) 극장판 원피스 6기 : 오마츠리 남작과 비밀의 섬,우정,NA,NA,NA,NA,NA,성장,배틀,판타지,액션,개그,바다,섬,NA
40,(더빙) 극장판 원피스 7기 : 기계태엽성의 메카 거병,우정,NA,NA,NA,NA,NA,성장,배틀,판타지,액션,개그,바다,섬,NA
41,(더빙) 극장판 원피스 8기 : 사막의 공주와 해적들,우정,NA,NA,NA,NA,NA,성장,배틀,판타지,액션,개그,바다,섬,NA
42,(더빙) 극장판 원피스 9기 : 에피소드 오브 쵸파,우정,NA,NA,NA,NA,NA,성장,배틀,판타지,액션,개그,바다,섬,NA
43,(더빙) 극장판 테니스의 왕자: 영국식 테니스성 결전,성장,NA,NA,NA,NA,NA,배틀,경쟁,판타지,스포츠,학교,경기장,NA,NA
44,(더빙) 극장판 햄토리 하무드 왕국의 공주님을 구하라,여행,NA,NA,NA,NA,NA,감동,아동,일상,마을,NA,NA,NA,NA
45,(더빙) 극장판 햄토리 햄토리와 신기한 도깨비 그림탑,여행,NA,NA,NA,NA,NA,감동,아동,일상,마을,NA,NA,NA,NA
46,(더빙) 기기괴괴 성형수,공포,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47,(더빙) 기동전사 건담,배틀,NA,NA,NA,NA,NA,정치,무거움,철학,액션,SF,NA,NA,NA
48,(더빙) 꼬마 자전거 스피디,우정,NA,NA,NA,NA,NA,아동,스포츠,경기장,NA,NA,NA,NA,NA
49,(더빙) 꼬마마법사 레미 : 견습 마법사를 찾아서,성장,NA,NA,NA,NA,NA,마법,감동,판타지,아동,일상,학교,마을,NA
50,(더빙) 꼬마마법사 레미 샵,성장,NA,NA,NA,NA,NA,마법,감동,판타지,아동,일상,학교,마을,NA
51,(더빙) 꼬마마법사 레미 포르테 : 개구리 바위의 비밀,성장,NA,NA,NA,NA,NA,마법,감동,판타지,아동,일상,학교,마을,NA
52,(더빙) 꿈의 왕국 소피루비,마법,NA,NA,NA,NA,NA,서양풍,판타지,아동,마을,NA,NA,NA,NA
53,(더빙) 나소흑전기 : 첫만남편,마법,NA,NA,NA,NA,NA,판타지,액션,NA,NA,NA,NA,NA,NA
