제목,plot_tag
(무삭제) 귀멸의 칼날,가족 몰살 인간 마음씨 절망적 착하 죽이 성장 무거움 판타지 액션 시대물
주술회전 part 1,저주 주술 죽음 소년 전문 돌이키 공유 성장 판타지 액션 학교 마을
지박소년 하나코 군,화장실 불가사의 소원 학원 이루 불러내 하트 판타지 액션 개그 로맨스 미스터리 학교 마을 여성향
호리미야,남동생 미인 우수 돌보 다치 연애 반의 우정 성장 로맨스 학교 집 드라마
주술회전 part 2,저주 주술 죽음 소년 전문 돌이키 공유 성장 판타지 액션 학교 마을
원펀맨,히어로 일격 최고 강하 활약 인기 무찌르 배틀 판타지 액션 개그
하이큐!! 1기,배구 눈앞 출전 선수 패하 최대한 두드리 우정 경쟁 대회 스포츠 학교 경기장
약속의 네버랜드 1기,필드 고아원 하우스 형제 어머니 생각 충격의 화 생존 판타지 미스터리 스릴러 공포 노이타미나
극장판 귀멸의 칼날 : 무한열차편,열차 무한 검사 달리 목숨 최강 직감 성장 무거움 판타지 액션 시대물
슈퍼 시크릿,이웃집 여대생 시크 밝혀지 유명 소꿉 특별 마법 삼각관계 짝사랑 감동 판타지 일상 개그 로맨스 학교 마을 집
(자막) 하이큐!! 2기,쌓이 진화 도쿄 괴짜 결판 잡혀가 원정 우정 경쟁 대회 스포츠 학교 경기장
암살교실 1기,생물 암살 날리 정부 제안 중학교 일반 우정 경쟁 액션 개그 학교 마을
(더빙) 강철의 연금술사 BROTHERHOOD,연금 술사 살리 대가 형제 현자 강철 성장 무거움 철학 판타지 액션 개그
암살교실 2기,암살 괴물 연재 폭발 지구 교실 교사 우정 성장 경쟁 판타지 액션 개그 학교 마을
하이큐!! 카라스노 고교 VS 시라토리자와학원 고교 (3기),결승전 고교 진출 스파이커 위력 승자 극복 우정 경쟁 대회 스포츠 학교 경기장
(자막) 나의 히어로 아카데미아 1기,초능력 국립 집단 히어로 범죄 청소년 일종 우정 성장 배틀 판타지 액션  학교 마을
